Filename,Image_Type,Pair,Predicted_Engagement,Predicted_Cross_Prob,Reason
conversation_1772190756395_raw.jpg,Raw,"[1, 2]",medium,0.3,"People 1 and 2 are gesturing towards each other, indicating a conversation."
conversation_1772190756395_raw.jpg,Raw,"[1, 3]",medium,0.3,"People 1 and 3 are gesturing towards each other, indicating a conversation."
conversation_1772190756395_raw.jpg,Raw,"[1, 4]",medium,0.3,People 1 and 4 are likely engaged in a group conversation.
conversation_1772190756395_raw.jpg,Raw,"[2, 3]",medium,0.3,People 2 and 3 are likely engaged in a group conversation.
conversation_1772190756395_raw.jpg,Raw,"[2, 4]",medium,0.3,People 2 and 4 are likely engaged in a group conversation.
conversation_1772190756395_raw.jpg,Raw,"[3, 4]",medium,0.3,People 3 and 4 are likely engaged in a group conversation.
conversation_1772190756395_raw.jpg,Annotated,"[1, 2]",medium,0.3,"They are facing each other and gesturing, indicating a conversation."
conversation_1772190756395_raw.jpg,Annotated,"[1, 3]",low,0.7,"They are not directly interacting, suggesting a weaker social link."
conversation_1772190756395_raw.jpg,Annotated,"[1, 4]",low,0.7,"They are not directly interacting, suggesting a weaker social link."
conversation_1772190756395_raw.jpg,Annotated,"[2, 3]",medium,0.4,They are in close proximity and may be part of the same interaction.
conversation_1772190756395_raw.jpg,Annotated,"[2, 4]",low,0.7,"They are not directly interacting, suggesting a weaker social link."
conversation_1772190756395_raw.jpg,Annotated,"[3, 4]",medium,0.5,"They are standing close and facing the same direction, suggesting a shared focus."
conversation_1772190756395_raw.jpg,Depth,"[1, 2]",medium,0.3,"The two people are facing each other, suggesting a conversation."
conversation_1772190810973_raw.jpg,Raw,"[2, 3]",medium,0.3,They are facing each other and appear to be engaged in a conversation.
conversation_1772190810973_raw.jpg,Raw,"[3, 4]",medium,0.3,They are facing each other and appear to be engaged in a conversation.
conversation_1772190810973_raw.jpg,Raw,"[2, 4]",medium,0.3,They are facing each other and appear to be engaged in a conversation.
conversation_1772190810973_raw.jpg,Annotated,"[1, 2]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190810973_raw.jpg,Annotated,"[1, 3]",low,0.8,They are not facing each other and are relatively far apart.
conversation_1772190810973_raw.jpg,Annotated,"[1, 4]",low,0.8,They are not facing each other and are relatively far apart.
conversation_1772190810973_raw.jpg,Annotated,"[2, 3]",high,0.2,They are close together and facing each other.
conversation_1772190810973_raw.jpg,Annotated,"[2, 4]",high,0.3,They are close together and facing each other.
conversation_1772190810973_raw.jpg,Annotated,"[3, 4]",high,0.2,They are close together and facing each other.
conversation_1772190810973_raw.jpg,Depth,"[1, 2]",low,0.7,"The people are standing near each other, but not directly facing each other."
conversation_1772190840400_raw.jpg,Raw,"[1, 2]",high,0.1,The two people are facing each other and appear to be in conversation.
conversation_1772190840400_raw.jpg,Annotated,"[1, 2]",medium,0.3,The two people are facing each other and appear to be in conversation.
conversation_1772190840400_raw.jpg,Depth,"[1, 2]",low,0.7,"The two people are standing near each other, but not directly facing each other."
conversation_1772190876271_raw.jpg,Raw,"[1, 2]",medium,0.3,People 1 and 2 are in a group and seem to be talking.
