Filename,Image_Type,Pair,Predicted_Engagement,Predicted_Cross_Prob,Reason
conversation_1772190756395_raw.jpg,Raw,"[1, 2]",high,0.1,People 1 and 2 are actively gesturing and facing each other.
conversation_1772190756395_raw.jpg,Raw,"[1, 3]",low,0.6,People 1 and 3 are not directly interacting.
conversation_1772190756395_raw.jpg,Raw,"[1, 4]",low,0.7,People 1 and 4 are not directly interacting.
conversation_1772190756395_raw.jpg,Raw,"[2, 3]",high,0.1,People 2 and 3 are actively gesturing and facing each other.
conversation_1772190756395_raw.jpg,Raw,"[2, 4]",low,0.6,People 2 and 4 are not directly interacting.
conversation_1772190756395_raw.jpg,Raw,"[3, 4]",medium,0.3,People 3 and 4 are facing each other and seem to be talking.
conversation_1772190756395_raw.jpg,Annotated,"[1, 2]",medium,0.3,"They are facing each other and gesturing, suggesting a conversation."
conversation_1772190756395_raw.jpg,Annotated,"[1, 3]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190756395_raw.jpg,Annotated,"[1, 4]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190756395_raw.jpg,Annotated,"[2, 3]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190756395_raw.jpg,Annotated,"[2, 4]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190756395_raw.jpg,Annotated,"[3, 4]",medium,0.4,"They are standing close and facing the same direction, suggesting a conversation."
conversation_1772190756395_raw.jpg,Grayscale,"[1, 2]",medium,0.3,"They are facing each other and gesturing, suggesting a conversation."
conversation_1772190756395_raw.jpg,Grayscale,"[1, 3]",low,0.7,"They are not facing each other, so the engagement is low."
conversation_1772190756395_raw.jpg,Grayscale,"[1, 4]",low,0.7,"They are not facing each other, so the engagement is low."
conversation_1772190756395_raw.jpg,Grayscale,"[2, 3]",low,0.7,"They are not facing each other, so the engagement is low."
conversation_1772190756395_raw.jpg,Grayscale,"[2, 4]",low,0.7,"They are not facing each other, so the engagement is low."
conversation_1772190756395_raw.jpg,Grayscale,"[3, 4]",medium,0.4,"They are standing close and facing each other, suggesting a conversation."
conversation_1772190756395_raw.jpg,Depth,"[1, 2]",medium,0.3,"The two people are facing each other, suggesting a conversation."
conversation_1772190810973_raw.jpg,Raw,"[1, 2]",low,0.6,"They are not directly facing each other, suggesting a lower engagement."
conversation_1772190810973_raw.jpg,Raw,"[1, 3]",low,0.6,"They are not directly facing each other, suggesting a lower engagement."
conversation_1772190810973_raw.jpg,Raw,"[1, 4]",low,0.6,"They are not directly facing each other, suggesting a lower engagement."
conversation_1772190810973_raw.jpg,Raw,"[2, 3]",medium,0.4,They are facing each other and possibly engaged in a conversation.
conversation_1772190810973_raw.jpg,Raw,"[2, 4]",medium,0.4,They are facing each other and possibly engaged in a conversation.
conversation_1772190810973_raw.jpg,Raw,"[3, 4]",medium,0.4,They are facing each other and possibly engaged in a conversation.
conversation_1772190810973_raw.jpg,Annotated,"[1, 2]",low,0.7,They are not facing each other.
conversation_1772190810973_raw.jpg,Annotated,"[1, 3]",low,0.7,They are not facing each other.
conversation_1772190810973_raw.jpg,Annotated,"[1, 4]",low,0.7,They are not facing each other.
conversation_1772190810973_raw.jpg,Annotated,"[2, 3]",medium,0.4,They are close and may be talking.
conversation_1772190810973_raw.jpg,Annotated,"[2, 4]",medium,0.4,They are close and may be talking.
conversation_1772190810973_raw.jpg,Annotated,"[3, 4]",medium,0.4,They are close and may be talking.
conversation_1772190810973_raw.jpg,Grayscale,"[1, 2]",low,0.7,They are not facing each other.
conversation_1772190810973_raw.jpg,Grayscale,"[1, 3]",low,0.8,They are not facing each other.
conversation_1772190810973_raw.jpg,Grayscale,"[1, 4]",low,0.8,They are not facing each other.
conversation_1772190810973_raw.jpg,Grayscale,"[2, 3]",medium,0.4,They are close and might be talking.
conversation_1772190810973_raw.jpg,Grayscale,"[2, 4]",medium,0.4,They are close and might be talking.
conversation_1772190810973_raw.jpg,Grayscale,"[3, 4]",medium,0.3,They are close and facing each other.
conversation_1772190810973_raw.jpg,Depth,"[1, 2]",medium,0.3,"The two people are close to each other, so the robot should not cross."
conversation_1772190810973_raw.jpg,Depth,"[1, 3]",medium,0.3,"The two people are close to each other, so the robot should not cross."
conversation_1772190810973_raw.jpg,Depth,"[2, 3]",medium,0.2,"The two people are close to each other, so the robot should not cross."
conversation_1772190840400_raw.jpg,Raw,"[1, 2]",high,0.1,The two people are facing each other and appear to be in conversation.
conversation_1772190840400_raw.jpg,Annotated,"[1, 2]",medium,0.2,The two people are facing each other and appear to be in conversation.
conversation_1772190840400_raw.jpg,Grayscale,"[1, 2]",high,0.1,The two people are facing each other and appear to be in conversation.
conversation_1772190840400_raw.jpg,Depth,"[1, 2]",low,0.7,"The two people are standing near each other, but not directly facing each other."
conversation_1772190876271_raw.jpg,Raw,"[1, 2]",medium,0.3,People 1 and 2 are in a group and may be talking.
conversation_1772190876271_raw.jpg,Raw,"[1, 3]",medium,0.3,People 1 and 3 are in a group and may be talking.
conversation_1772190876271_raw.jpg,Raw,"[2, 3]",medium,0.3,People 2 and 3 are in a group and may be talking.
conversation_1772190876271_raw.jpg,Raw,"[1, 4]",low,0.7,People 1 and 4 are far apart and not facing each other.
conversation_1772190876271_raw.jpg,Raw,"[2, 4]",low,0.7,People 2 and 4 are far apart and not facing each other.
conversation_1772190876271_raw.jpg,Raw,"[3, 4]",low,0.7,People 3 and 4 are far apart and not facing each other.
conversation_1772190876271_raw.jpg,Annotated,"[1, 2]",low,0.7,They are not facing each other and are not very close.
conversation_1772190876271_raw.jpg,Annotated,"[1, 3]",low,0.7,They are not facing each other and are not very close.
conversation_1772190876271_raw.jpg,Annotated,"[1, 4]",low,0.8,They are far apart and not facing each other.
conversation_1772190876271_raw.jpg,Annotated,"[2, 3]",medium,0.4,They are standing close to each other.
conversation_1772190876271_raw.jpg,Annotated,"[2, 4]",low,0.7,They are not facing each other and are not very close.
conversation_1772190876271_raw.jpg,Annotated,"[3, 4]",low,0.7,They are not facing each other and are not very close.
conversation_1772190876271_raw.jpg,Grayscale,"[2, 3]",high,0.2,"People 2 and 3 are very close, indicating a conversation."
conversation_1772190876271_raw.jpg,Grayscale,"[2, 1]",medium,0.6,"People 1 and 2 are not facing each other, but are in the same vicinity."
conversation_1772190876271_raw.jpg,Grayscale,"[3, 1]",medium,0.6,"People 1 and 3 are not facing each other, but are in the same vicinity."
conversation_1772190876271_raw.jpg,Grayscale,"[1, 4]",low,0.8,People 1 and 4 are far apart and not facing each other.
conversation_1772190876271_raw.jpg,Grayscale,"[2, 4]",low,0.8,People 2 and 4 are far apart and not facing each other.
conversation_1772190876271_raw.jpg,Grayscale,"[3, 4]",low,0.8,People 3 and 4 are far apart and not facing each other.
conversation_1772190876271_raw.jpg,Depth,"[1, 2]",medium,0.3,"The two people are close, so crossing is risky."
conversation_1772190876271_raw.jpg,Depth,"[1, 3]",medium,0.3,"The two people are close, so crossing is risky."
conversation_1772190876271_raw.jpg,Depth,"[2, 3]",medium,0.4,"The two people are close, so crossing is risky."
conversation_1772190914887_raw.jpg,Raw,"[1, 2]",medium,0.3,People 1 and 2 are close and may be talking.
conversation_1772190914887_raw.jpg,Raw,"[1, 4]",high,0.1,People 1 and 4 are facing each other and talking.
conversation_1772190914887_raw.jpg,Raw,"[2, 4]",high,0.1,People 2 and 4 are facing each other and talking.
conversation_1772190914887_raw.jpg,Raw,"[1, 3]",low,0.7,People 1 and 3 are not interacting.
conversation_1772190914887_raw.jpg,Raw,"[2, 3]",low,0.7,People 2 and 3 are not interacting.
conversation_1772190914887_raw.jpg,Raw,"[3, 4]",low,0.7,People 3 and 4 are not interacting.
conversation_1772190914887_raw.jpg,Annotated,"[1, 2]",low,0.7,"They are standing near each other, but not directly interacting."
conversation_1772190914887_raw.jpg,Annotated,"[1, 3]",low,0.8,They are not facing each other and are relatively far apart.
conversation_1772190914887_raw.jpg,Annotated,"[1, 4]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190914887_raw.jpg,Annotated,"[2, 3]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190914887_raw.jpg,Annotated,"[2, 4]",low,0.6,"They are standing near each other, but not directly interacting."
conversation_1772190914887_raw.jpg,Annotated,"[3, 4]",medium,0.4,They are facing each other and appear to be talking.
conversation_1772190914887_raw.jpg,Grayscale,"[1, 2]",low,0.7,They are standing close but not directly facing each other.
conversation_1772190914887_raw.jpg,Grayscale,"[1, 3]",low,0.8,They are not facing each other and are relatively far apart.
conversation_1772190914887_raw.jpg,Grayscale,"[1, 4]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190914887_raw.jpg,Grayscale,"[2, 3]",low,0.7,They are not facing each other and are relatively far apart.
conversation_1772190914887_raw.jpg,Grayscale,"[2, 4]",low,0.6,They are not facing each other but are relatively close.
conversation_1772190914887_raw.jpg,Grayscale,"[3, 4]",medium,0.4,They are facing each other and appear to be talking.
conversation_1772190914887_raw.jpg,Depth,"[1, 2]",medium,0.3,The two people are close and may be talking.
conversation_1772190914887_raw.jpg,Depth,"[1, 3]",medium,0.3,The two people are close and may be talking.
conversation_1772190914887_raw.jpg,Depth,"[2, 3]",medium,0.3,The two people are close and may be talking.
conversation_1772190919598_raw.jpg,Raw,"[1, 2]",medium,0.3,People 1 and 2 are close and facing each other.
conversation_1772190919598_raw.jpg,Raw,"[1, 4]",medium,0.3,People 1 and 4 are part of the same group.
conversation_1772190919598_raw.jpg,Raw,"[2, 4]",medium,0.3,People 2 and 4 are part of the same group.
conversation_1772190919598_raw.jpg,Raw,"[1, 3]",low,0.7,People 1 and 3 are not facing each other.
conversation_1772190919598_raw.jpg,Raw,"[2, 3]",low,0.7,People 2 and 3 are not facing each other.
conversation_1772190919598_raw.jpg,Raw,"[3, 4]",low,0.7,People 3 and 4 are not facing each other.
conversation_1772190919598_raw.jpg,Annotated,"[1, 2]",low,0.7,The people are standing close but not facing each other.
conversation_1772190919598_raw.jpg,Annotated,"[1, 3]",low,0.8,The people are far apart and not facing each other.
conversation_1772190919598_raw.jpg,Annotated,"[1, 4]",low,0.8,The people are far apart and not facing each other.
conversation_1772190919598_raw.jpg,Annotated,"[2, 3]",low,0.8,The people are far apart and not facing each other.
conversation_1772190919598_raw.jpg,Annotated,"[2, 4]",low,0.8,The people are far apart and not facing each other.
conversation_1772190919598_raw.jpg,Annotated,"[3, 4]",medium,0.4,The people are close and facing each other.
conversation_1772190919598_raw.jpg,Grayscale,"[1, 2]",low,0.7,They are standing close but not facing each other.
conversation_1772190919598_raw.jpg,Grayscale,"[1, 3]",low,0.8,They are not interacting and are far apart.
conversation_1772190919598_raw.jpg,Grayscale,"[1, 4]",low,0.8,They are not interacting and are far apart.
conversation_1772190919598_raw.jpg,Grayscale,"[2, 3]",low,0.8,They are not interacting and are far apart.
